age,quarter,sex,tot_stays,average_length_of_stay
90 +,2020Q1,Female,4177,16
90 +,2021Q1,Female,3690,16
90 +,2020Q2,Female,2792,14
90 +,2021Q1,Male,1968,14
90 +,2021Q3,Female,3700,14
90 +,2020Q1,Male,2227,13
90 +,2020Q4,Female,3613,13
90 +,2021Q2,Female,3794,13
90 +,2020Q2,Male,1522,12
90 +,2021Q3,Male,2000,12
80-89 ,2020Q1,Female,13748,11
90 +,2020Q3,Female,3548,11
90 +,2020Q4,Male,2049,11
80-89 ,2021Q2,Female,13097,11
90 +,2021Q2,Male,2099,11
90 +,2020Q3,Male,1869,10
80-89 ,2021Q1,Female,11320,10
80-89 ,2021Q3,Female,12595,10
80-89 ,2020Q1,Male,10659,9
80-89 ,2020Q2,Female,9628,9
80-89 ,2020Q3,Female,12004,9
80-89 ,2020Q4,Female,12204,9
80-89 ,2021Q1,Male,9188,9
80-89 ,2021Q2,Male,10205,9
80-89 ,2021Q3,Male,10047,9
70-79 ,2020Q1,Female,14755,8
70-79 ,2020Q1,Male,15663,8
70-79 ,2020Q2,Female,10054,8
80-89 ,2020Q2,Male,7638,8
70-79 ,2020Q4,Female,13257,8
80-89 ,2020Q4,Male,9809,8
70-79 ,2021Q1,Male,13174,8
70-79 ,2021Q2,Female,14380,8
70-79 ,2021Q3,Male,14962,8
70-79 ,2020Q3,Male,14256,7
80-89 ,2020Q3,Male,9612,7
60-69 ,2020Q4,Male,12520,7
70-79 ,2020Q4,Male,14128,7
70-79 ,2021Q3,Female,14002,7
60-69 ,2020Q1,Female,11960,6
70-79 ,2020Q2,Male,11092,6
60-69 ,2020Q3,Male,12516,6
70-79 ,2020Q3,Female,13152,6
60-69 ,2021Q1,Male,11847,6
70-79 ,2021Q1,Female,12299,6
60-69 ,2021Q3,Female,11638,6
60-69 ,2021Q3,Male,13043,6
50-59 ,2020Q1,Male,10839,5
60-69 ,2020Q1,Male,13403,5
60-69 ,2020Q2,Female,8269,5
60-69 ,2020Q2,Male,10001,5
60-69 ,2020Q3,Female,10718,5
60-69 ,2020Q4,Female,10500,5
50-59 ,2021Q1,Female,9243,5
50-59 ,2021Q1,Male,9635,5
60-69 ,2021Q1,Female,10121,5
60-69 ,2021Q2,Female,11838,5
60-69 ,2021Q2,Male,13502,5
70-79 ,2021Q2,Male,15383,5
50-59 ,2021Q3,Female,9952,5
50-59 ,2020Q1,Female,10540,4
40-49 ,2020Q2,Male,5459,4
50-59 ,2020Q2,Female,7549,4
50-59 ,2020Q2,Male,8781,4
40-49 ,2020Q3,Male,6413,4
50-59 ,2020Q3,Male,10288,4
40-49 ,2020Q4,Male,6067,4
50-59 ,2020Q4,Female,9827,4
50-59 ,2020Q4,Male,10169,4
40-49 ,2021Q1,Male,5858,4
50-59 ,2021Q2,Female,10814,4
50-59 ,2021Q2,Male,10889,4
40-49 ,2021Q3,Male,6380,4
50-59 ,2021Q3,Male,10299,4
30-39 ,2020Q1,Female,6012,3
30-39 ,2020Q1,Male,5157,3
40-49 ,2020Q1,Female,6467,3
40-49 ,2020Q1,Male,6316,3
40-49 ,2020Q2,Female,4969,3
30-39 ,2020Q3,Male,5211,3
40-49 ,2020Q3,Female,6224,3
50-59 ,2020Q3,Female,9587,3
30-39 ,2020Q4,Female,5380,3
30-39 ,2020Q4,Male,4694,3
40-49 ,2020Q4,Female,6016,3
30-39 ,2021Q1,Male,4607,3
40-49 ,2021Q1,Female,5941,3
30-39 ,2021Q2,Female,6112,3
30-39 ,2021Q2,Male,5317,3
40-49 ,2021Q2,Female,7003,3
40-49 ,2021Q2,Male,6797,3
20-29 ,2021Q3,Male,3805,3
30-39 ,2021Q3,Female,5867,3
30-39 ,2021Q3,Male,5346,3
40-49 ,2021Q3,Female,6472,3
10-19 ,2020Q1,Female,2195,2
10-19 ,2020Q1,Male,2098,2
20-29 ,2020Q1,Female,5118,2
20-29 ,2020Q1,Male,3993,2
10-19 ,2020Q2,Female,1196,2
10-19 ,2020Q2,Male,1227,2
20-29 ,2020Q2,Female,3617,2
20-29 ,2020Q2,Male,3119,2
30-39 ,2020Q2,Female,4336,2
30-39 ,2020Q2,Male,4309,2
10-19 ,2020Q3,Female,1796,2
20-29 ,2020Q3,Female,4489,2
20-29 ,2020Q3,Male,3909,2
30-39 ,2020Q3,Female,5707,2
10-19 ,2020Q4,Female,1798,2
10-19 ,2020Q4,Male,1681,2
20-29 ,2020Q4,Female,4415,2
20-29 ,2020Q4,Male,3508,2
10-19 ,2021Q1,Male,1448,2
20-29 ,2021Q1,Female,4197,2
20-29 ,2021Q1,Male,3336,2
30-39 ,2021Q1,Female,5209,2
20-29 ,2021Q2,Female,4854,2
20-29 ,2021Q2,Male,3858,2
0-9 ,2021Q3,Male,1351,2
10-19 ,2021Q3,Female,1858,2
10-19 ,2021Q3,Male,1943,2
20-29 ,2021Q3,Female,4630,2
0-9 ,2020Q1,Female,1251,1
0-9 ,2020Q1,Male,1496,1
0-9 ,2020Q2,Female,617,1
0-9 ,2020Q2,Male,792,1
0-9 ,2020Q3,Female,979,1
0-9 ,2020Q3,Male,1313,1
10-19 ,2020Q3,Male,1962,1
0-9 ,2020Q4,Female,908,1
0-9 ,2020Q4,Male,1295,1
0-9 ,2021Q1,Female,839,1
0-9 ,2021Q1,Male,1188,1
10-19 ,2021Q1,Female,1567,1
0-9 ,2021Q2,Female,1081,1
0-9 ,2021Q2,Male,1453,1
10-19 ,2021Q2,Female,2057,1
10-19 ,2021Q2,Male,1948,1
0-9 ,2021Q3,Female,998,1
